Index,Eigenvalue,MagZ,MagX
143,0.17364782,-0.054671314,-1.11724574e-7
144,0.17364803,0.045662846,1.2978906e-7
145,0.17364815,-0.17005283,-9.037195e-8
146,0.17364816,0.13541995,-4.5066923e-8
147,0.17364824,0.10342495,2.8589971e-8
148,0.17364834,-0.19311596,-2.7493593e-8
149,0.17364834,-0.027133336,-1.4254658e-7
150,0.17364836,0.37499997,0.0
151,0.17364842,-0.04497235,-8.126709e-9
152,0.17364866,-0.044819694,6.723439e-10
153,0.17364879,-0.030108988,-3.4854654e-8
154,0.26604402,0.053596403,0.016281923
155,0.26604438,0.242386,-0.0047434415
156,0.26604453,0.02271956,-0.013142095
157,0.26604468,-0.17890549,-0.030905632
158,0.26604488,-0.04006622,0.0012306626
159,0.26604494,-0.09972966,0.031278543
160,0.32635134,-0.15093556,1.0836611e-7
161,0.3263517,0.109728105,5.0347403e-8
162,0.32635188,0.17600049,-4.7792966e-8
163,0.32635188,0.048921183,-4.204409e-8
164,0.32635215,-0.17362511,-1.0829149e-8
165,0.32635236,-0.010090855,-3.289079e-8
166,0.3472966,0.12474031,9.7065955e-9
167,0.34729663,-0.1247402,7.355328e-9
168,0.43969178,0.07343124,-5.7332077e-9
169,0.43969232,-0.02169028,-1.7103373e-8
170,0.43969265,-0.17962511,-5.6325034e-9
171,0.43969274,0.24534954,1.08787255e-8
172,0.43969285,-0.10391232,-1.2840658e-8
173,0.43969294,-0.013553117,-9.1648566e-8
174,0.49999964,-0.30036125,0.0040444066
175,0.49999985,-0.03405849,0.009486353
176,0.4999999,-0.016889498,-0.012654769
177,0.49999994,-0.020627782,-0.0065883556
178,0.50000006,0.11357341,-0.013417932
179,0.50000006,0.375,-1.9984014e-15
180,0.5000002,0.04337488,0.0026591495
181,0.50000024,-0.020132089,0.006611919
182,0.5000003,-0.08246838,0.01600195
183,0.50000054,-0.05741168,-0.0061428407
184,0.5923958,0.24684131,-5.209028e-9
185,0.5923961,-0.00085528265,-8.097946e-8
186,0.59239626,0.002205475,5.3207877e-8
187,0.5923964,-0.24819137,9.061392e-8
188,0.6133408,-0.124999,9.6166865e-8
189,0.61334085,0.12499903,-2.9946085e-7
190,0.67364776,-0.17160152,0.03138608
191,0.6736479,0.020016002,-0.0023650564
192,0.67364794,0.002892607,-3.876354e-5
193,0.6736481,0.13740836,0.030151825
194,0.67364824,0.19686455,-0.025029708
195,0.6736486,-0.18557972,-0.034104265
196,0.76604354,-0.21558999,1.6354626e-8
197,0.766044,-0.06598934,-2.4792314e-8
198,0.7660442,-0.117007256,9.166619e-12
199,0.7660444,0.0618023,1.9483757e-8
200,0.76604444,0.08484722,6.1404632e-9
201,0.7660445,0.030342467,2.8911824e-8
202,0.7660445,0.2449577,-1.0020452e-8
203,0.76604456,0.375,0.0
204,0.7660446,-0.06121159,8.7301125e-8
205,0.76604474,0.016753932,-3.218719e-8
206,0.7660448,-0.17611395,3.372686e-9
207,0.76604486,-0.17779182,9.881748e-9
208,0.847296,2.5250302e-13,5.3797383e-8
209,0.939692,-0.36214083,-0.00011754879
210,0.9396923,-0.09430911,-0.00014988348
211,0.93969244,-0.030862747,-0.018570738
212,0.9396926,0.37499997,0.0
213,0.9396927,0.24748261,-0.0035971943
214,0.93969274,-0.12237318,0.011000689
215,0.93969285,-0.018559657,0.014674994
216,0.939693,0.060216248,0.011424588
217,0.939693,-0.04550695,0.0015591116
218,0.93969303,0.06406231,0.0076345606
219,0.93969333,0.029667508,0.0054630465
220,0.93969333,-0.10268032,-0.02932141
221,1.0320888,8.077957e-14,6.284732e-8
222,1.0923961,0.12489112,-3.1717349e-9
223,1.0923969,-0.12489114,-4.4836305e-8
224,1.1133406,0.24737951,-2.0480324e-9
225,1.1133407,0.0026147503,8.008104e-9
226,1.1133411,-0.17838126,4.64684e-8
227,1.1133412,-0.07160988,1.3751041e-8
228,1.2057369,0.12479581,-2.3733934e-8
229,1.2057372,-0.12479585,-7.358909e-8
230,1.2660443,0.06522752,-0.00315572
231,1.2660443,-0.15822475,-0.0047679604
232,1.2660444,0.24471635,0.0063564833
233,1.2660445,-0.040329266,0.00622836
234,1.2660445,-0.031035438,0.023791576
235,1.2660446,-0.080354355,-0.028452678
236,1.3793852,4.8037962e-14,-3.386713e-8
237,1.4396923,-0.21471195,1.2576976e-8
238,1.4396924,0.0923141,6.544632e-9
239,1.4396925,0.2499964,-1.7692217e-9
240,1.4396927,0.0037258603,3.049579e-8
241,1.4396927,-0.031840485,-1.2235134e-8
242,1.439693,-0.099483915,1.1758688e-8
243,1.5320885,-0.124937974,8.049865e-9
244,1.532089,0.12493801,-4.2802623e-10
245,1.6133405,0.1239443,-4.349715e-9
246,1.6133406,-0.12394428,-3.737724e-9
247,1.7057369,0.24999587,-5.0192667e-10
248,1.7057371,4.115936e-6,-8.130115e-10
249,1.7057372,-0.24993858,6.320881e-8
250,1.7057372,-6.154902e-5,1.834069e-8
251,1.8793855,-0.12368432,1.3630785e-8
252,1.8793855,0.12368429,-2.2647592e-8
253,2.0320888,1.9812546e-14,-7.817678e-9
254,2.205737,-0.12499373,-1.9555724e-9
255,2.2057374,0.12499371,4.0352393e-9
256,2.379385,1.88957e-14,-3.8327572e-9
